Customer_ID,Email,Phone,Address,City,Country,Postal_Code,Last_Updated_Date,Preferred_Contact_Method
5524,customer5524@example.com,9637469267,373 Sample Street,Mumbai,Singapore,275203,2023-08-14,SMS
2174,customer2174@example.com,9725417514,161 Sample Street,Chennai,Singapore,284779,2025-02-22,Email
4141,customer4141@example.com,9580926382,485 Sample Street,Delhi,Singapore,628178,2024-03-26,SMS
6182,customer6182@example.com,9486138198,346 Sample Street,Mumbai,India,168148,2023-07-19,Email
5324,customer5324@example.com,9367203173,2 Sample Street,Singapore,Singapore,559773,2023-01-01,Email
7446,customer7446@example.com,9593519193,270 Sample Street,Bangalore,Singapore,635822,2024-10-03,SMS
965,customer965@example.com,9687414798,764 Sample Street,Bangalore,India,532315,2024-12-18,Email
6177,customer6177@example.com,9808687077,63 Sample Street,Kolkata,India,236330,2024-08-21,Email
4855,customer4855@example.com,9072204969,41 Sample Street,Delhi,India,807611,2025-08-20,Phone
5899,customer5899@example.com,9871066742,684 Sample Street,Chennai,Singapore,556551,2024-01-07,Email
1994,customer1994@example.com,9202420496,767 Sample Street,Pune,Singapore,997421,2023-08-15,Email
387,customer387@example.com,9899260334,407 Sample Street,Hyderabad,Singapore,827270,2023-12-15,Phone
2125,customer2125@example.com,9362519845,796 Sample Street,Pune,India,981691,2024-04-22,Email
8180,customer8180@example.com,9396860088,628 Sample Street,Kolkata,Singapore,227948,2023-12-19,Phone
2569,customer2569@example.com,9265784029,684 Sample Street,Mumbai,India,265838,2023-09-28,SMS
2114,customer2114@example.com,9578300936,386 Sample Street,Pune,Singapore,582690,2025-09-11,SMS
9736,customer9736@example.com,9407001156,997 Sample Street,Mumbai,Singapore,531839,2025-05-22,SMS
4939,customer4939@example.com,9021495636,203 Sample Street,Bangalore,India,209751,2025-09-01,Email
6565,customer6565@example.com,9057431550,201 Sample Street,Bangalore,Singapore,710490,2025-02-10,Phone
2278,customer2278@example.com,9233292236,820 Sample Street,Chennai,India,501896,2024-04-02,SMS
9360,customer9360@example.com,9617088169,611 Sample Street,Pune,Singapore,247718,2023-01-01,Phone
5376,customer5376@example.com,9983010446,9 Sample Street,Pune,Singapore,369544,2025-09-25,SMS
1993,customer1993@example.com,9223757073,587 Sample Street,Chennai,Singapore,478480,2024-11-08,SMS
4047,customer4047@example.com,9573282811,706 Sample Street,Delhi,Singapore,102869,2025-07-23,Email
1409,customer1409@example.com,9830304377,135 Sample Street,Kolkata,India,710704,2024-04-02,Phone
7892,customer7892@example.com,9025655525,776 Sample Street,Bangalore,India,250810,2023-01-01,Email
